Baseline,Soal,Membaca,Target
115226,136118,158806,Aktivitas
146957,21556,14317,Baseline
146957,160218,127597,Aktivitas
52485,74341,131807,Aktivitas
139937,163623,113446,Aktivitas
18005,97322,123895,Aktivitas
23526,21754,138996,Aktivitas
98777,124635,129791,Aktivitas
36858,172973,239291,Aktivitas
81153,75090,113446,Aktivitas
143744,139506,192717,Aktivitas
124182,137475,167103,Aktivitas
132380,166991,128725,Aktivitas
141175,210944,97768,Aktivitas
186566,182383,167543,Baseline
198061,124800,129241,Baseline
