Baseline,Soal,Membaca,Target
125455.16666666667,157650.25,175614.98333333334,High Concentration
20787.6,21556.325,14317.166666666666,Low Concentration
36858.28333333333,172972.95,239291.025,High Concentration
143744.25,139506.49166666667,192717.30833333332,Low Concentration 
124182.44166666667,137475.28333333333,167103.125,High Concentration
132379.95,166990.525,128725.33333333333, Low Concentration
141174.8,210943.975,97767.875,Low Concentration
186565.75833333333,182382.8,167543.025,Not Relaxed
198061.19166666668,124799.575,129240.65,Not Relaxed
45612.86666666667,17145.3,30631.683333333334,Not Relaxed
