Timestamp,Data
0,112987
2,188224
3,191695
4,171886
5,172267
6,115674
7,84003
8,115446
9,200340
10,266306
11,289510
12,107277
13,272569
14,207054
15,155795
16,218816
17,195262
18,95971
19,120182
20,247235
21,381466
0,112987
2,188224
3,191695
4,171886
5,172267
6,115674
7,84003
8,115446
9,200340
10,266306
11,289510
12,107277
13,272569
14,207054
15,155795
16,218816
17,195262
18,95971
19,120182
20,247235
21,381466
0,112987
2,188224
3,191695
4,171886
5,172267
6,115674
7,84003
8,115446
9,200340
10,266306
11,289510
12,107277
13,272569
14,207054
15,155795
16,218816
17,195262
18,95971
19,120182
20,247235
21,381466
0,112987
2,188224
3,191695
4,171886
5,172267
6,115674
7,84003
8,115446
9,200340
10,266306
11,289510
12,107277
13,272569
14,207054
15,155795
16,218816
17,195262
18,95971
19,120182
20,247235
21,381466
0,112987
2,188224
3,191695
4,171886
5,172267
6,115674
7,84003
8,115446
9,200340
10,266306
11,289510
12,107277
13,272569
14,207054
15,155795
16,218816
17,195262
18,95971
19,120182
20,247235
21,381466
0,112987
2,188224
3,191695
4,171886
5,172267
6,115674
7,84003
8,115446
9,200340
10,266306
11,289510
12,107277
13,272569
14,207054
15,155795
16,218816
17,195262
18,95971
19,120182
20,247235
21,381466
0,112987
2,188224
3,191695
4,171886
5,172267
6,115674
7,84003
8,115446
9,200340
10,266306
11,289510
12,107277
13,272569
14,207054
15,155795
16,218816
17,195262
18,95971
19,120182
20,247235
21,381466
0,112987
2,188224
3,191695
4,171886
5,172267
6,115674
7,84003
8,115446
9,200340
10,266306
11,289510
12,107277
13,272569
14,207054
15,155795
16,218816
17,195262
18,95971
19,120182
20,247235
21,381466
0,112987
2,188224
3,191695
4,171886
5,172267
6,115674
7,84003
8,115446
9,200340
10,266306
11,289510
12,107277
13,272569
14,207054
15,155795
16,218816
17,195262
18,95971
19,120182
20,247235
21,381466
0,112987
2,188224
3,191695
4,171886
5,172267
6,115674
7,84003
8,115446
9,200340
10,266306
11,289510
12,107277
13,272569
14,207054
15,155795
16,218816
17,195262
18,95971
19,120182
20,247235
21,381466
0,112987
2,188224
3,191695
4,171886
5,172267
6,115674
7,84003
8,115446
9,200340
10,266306
11,289510
12,107277
13,272569
14,207054
15,155795
16,218816
17,195262
18,95971
19,120182
20,247235
21,381466
0,112987
2,188224
3,191695
4,171886
5,172267
6,115674
7,84003
8,115446
9,200340
10,266306
11,289510
12,107277
13,272569
14,207054
15,155795
16,218816
17,195262
18,95971
19,120182
20,247235
21,381466
0,112987
2,188224
3,191695
4,171886
5,172267
6,115674
7,84003
8,115446
9,200340
10,266306
11,289510
12,107277
13,272569
14,207054
15,155795
16,218816
17,195262
18,95971
19,120182
20,247235
21,381466
0,112987
2,188224
3,191695
4,171886
5,172267
6,115674
7,84003
8,115446
9,200340
10,266306
11,289510
12,107277
13,272569
14,207054
15,155795
16,218816
17,195262
18,95971
19,120182
20,247235
21,381466
0,112987
2,188224
3,191695
4,171886
5,172267
6,115674
7,84003
8,115446
9,200340
10,266306
11,289510
12,107277
13,272569
14,207054
15,155795
16,218816
17,195262
18,95971
19,120182
20,247235
21,381466
0,112987
2,188224
3,191695
4,171886
5,172267
6,115674
7,84003
8,115446
9,200340
10,266306
11,289510
12,107277
13,272569
14,207054
15,155795
16,218816
17,195262
18,95971
19,120182
20,247235
21,381466
0,112987
2,188224
3,191695
4,171886
5,172267
6,115674
7,84003
8,115446
9,200340
10,266306
11,289510
12,107277
13,272569
14,207054
15,155795
16,218816
17,195262
18,95971
19,120182
20,247235
21,381466
0,112987
2,188224
3,191695
